Facility,Country,City,Url,Date
165 Halsey Meet-Me Room,United States of America,Newark,https://www.peeringdb.com/fac/350,2018-07-16
365 Data Centers Tampa (TA1),United States of America,Tampa,https://www.peeringdb.com/fac/2086,2018-07-16
CINECA - DC NaMeX,Italy,Roma,https://www.peeringdb.com/fac/555,2018-07-16
Cologix MIN1,United States of America,Minneapolis,https://www.peeringdb.com/fac/803,2018-07-16
Commcorp Porto Alegre (PAE1),Brazil,Porto Alegre,https://www.peeringdb.com/fac/3796,2018-07-16
CoreSite - Los Angeles (LA1) One Wilshire,United States of America,Los Angeles,https://www.peeringdb.com/fac/19,2018-07-16
CoreSite - Santa Clara (SV4),United States of America,Santa Clara,https://www.peeringdb.com/fac/1619,2018-07-16
CyrusOne Houston West,United States of America,Houston,https://www.peeringdb.com/fac/1476,2018-07-16
Digital Realty Atlanta (56 Marietta),United States of America,Atlanta,https://www.peeringdb.com/fac/125,2018-07-16
Digital Realty New York (111 8th Ave),United States of America,New York,https://www.peeringdb.com/fac/16,2018-07-16
e-shelter Berlin (BER1),Germany,Berlin,https://www.peeringdb.com/fac/478,2018-07-16
EdgeConneX Atlanta (EDCATL01),United States of America,Atlanta,https://www.peeringdb.com/fac/1929,2018-07-16
EdgeConneX Denver (EDCDEN01),United States of America,Englewood,https://www.peeringdb.com/fac/1875,2018-07-16
EdgeConneX Las Vegas (EDCLAS01),United States of America,Las Vegas,https://www.peeringdb.com/fac/1918,2018-07-16
EdgeConneX Miami (EDCMIA01),United States of America,Miami,https://www.peeringdb.com/fac/1923,2018-07-16
EdgeConneX Norfolk (EDCNOR01),United States of America,Norfolk,https://www.peeringdb.com/fac/1921,2018-07-16
EdgeConneX Phoenix (EDCPHX01),United States of America,Tempe,https://www.peeringdb.com/fac/1917,2018-07-16
EdgeConneX Portland (EDCPOR01),United States of America,Hillsboro,https://www.peeringdb.com/fac/1922,2018-07-16
EdgeConneX San Diego (EDCSDG01),United States of America,San Diego,https://www.peeringdb.com/fac/1928,2018-07-16
EdgeConneX Seattle (EDCSEA01),United States of America,Tukwila,https://www.peeringdb.com/fac/2078,2018-07-16
Equinix Amsterdam Schepenbergweg (AM5) [formerly TCY AMS5],Netherlands,Amsterdam,https://www.peeringdb.com/fac/1236,2018-07-16
Equinix Ashburn (DC1-DC11),United States of America,Ashburn,https://www.peeringdb.com/fac/1,2018-07-16
Equinix Chicago (CH1/CH2/CH4),United States of America,Chicago,https://www.peeringdb.com/fac/7,2018-07-16
Equinix Dallas (DA6),United States of America,Dallas,https://www.peeringdb.com/fac/2261,2018-07-16
Equinix Dubai (DX1),United Arab Emirates,Dubai,https://www.peeringdb.com/fac/1355,2018-07-16
Equinix Dublin Kilcarbery (DB2),Ireland,Dublin,https://www.peeringdb.com/fac/178,2018-07-16
Equinix Frankfurt West (FR4),Germany,Frankfurt,https://www.peeringdb.com/fac/683,2018-07-16
Equinix Hong Kong  (HK1),Hong Kong,Hong Kong,https://www.peeringdb.com/fac/170,2018-07-16
Equinix London Slough (LD6),United Kingdom,Slough,https://www.peeringdb.com/fac/2262,2018-07-16
Equinix Los Angeles (LA1),United States of America,Los Angeles,https://www.peeringdb.com/fac/8,2018-07-16
Equinix Miami (MI1),United States of America,Miami,https://www.peeringdb.com/fac/15,2018-07-16
Equinix New York (111 8th),United States of America,New York,https://www.peeringdb.com/fac/38,2018-07-16
Equinix Philadelphia,United States of America,Philadelphia,https://www.peeringdb.com/fac/146,2018-07-16
Equinix Rio de Janeiro (RJ1),Brazil,Rio de Janeiro,https://www.peeringdb.com/fac/1586,2018-07-16
Equinix San Jose (SV1/5/10),United States of America,San Jose,https://www.peeringdb.com/fac/6,2018-07-16
Equinix São Paulo (SP2),Brazil,Barueri,https://www.peeringdb.com/fac/1283,2018-07-16
Equinix Secaucus (NY2/4/5/6),United States of America,Secaucus,https://www.peeringdb.com/fac/36,2018-07-16
Equinix Singapore (SG3),Singapore,Singapore,https://www.peeringdb.com/fac/2260,2018-07-16
Equinix Stockholm Bromma (SK1),Sweden,Stockholm,https://www.peeringdb.com/fac/156,2018-07-16
Equinix Stockholm Sköndal (SK2),Sweden,Stockholm,https://www.peeringdb.com/fac/684,2018-07-16
Equinix Sydney (SY4),Australia,Sydney,https://www.peeringdb.com/fac/3316,2018-07-16
Equinix Tokyo (TY4),Japan,Tokyo,https://www.peeringdb.com/fac/1893,2018-07-16
Equinix Warsaw (WA1) [formerly PLIX DC],Poland,Warsaw,https://www.peeringdb.com/fac/509,2018-07-16
Equinix Zurich (ZH4),Switzerland,Zurich,https://www.peeringdb.com/fac/833,2018-07-16
ETICE COLOC,Brazil,Fortaleza,https://www.peeringdb.com/fac/3819,2018-07-16
GPX Mumbai,India,Mumbai,https://www.peeringdb.com/fac/2310,2018-07-16
Infracom Milan,Italy,Milan,https://www.peeringdb.com/fac/1974,2018-07-16
Interxion Brussels,Belgium,Brussels,https://www.peeringdb.com/fac/68,2018-07-16
"Interxion Dusseldorf (DUS1, DUS2)",Germany,Duesseldorf,https://www.peeringdb.com/fac/106,2018-07-16
"Interxion Madrid (MAD1, MAD2)",Spain,Madrid,https://www.peeringdb.com/fac/130,2018-07-16
"Interxion Vienna (VIE1, VIE2)",Austria,Vienna,https://www.peeringdb.com/fac/67,2018-07-16
KDDI Otemachi (Telehouse Tokyo Otemachi),Japan,Tokyo,https://www.peeringdb.com/fac/142,2018-07-16
Level(3) Chicago Kingsbury,United States of America,Chicago,https://www.peeringdb.com/fac/1730,2018-07-16
Markley Group One Summer Street Boston,United States of America,Boston,https://www.peeringdb.com/fac/219,2018-07-16
Netrality Properties Kansas City - 1102 Grand,United States of America,Kansas City,https://www.peeringdb.com/fac/435,2018-07-16
Netrality Properties St. Louis - 210 N Tucker,United States of America,St. Louis,https://www.peeringdb.com/fac/1978,2018-07-16
NIC-JD (João Dias),Brazil,São Paulo,https://www.peeringdb.com/fac/3810,2018-07-16
Telehouse - London (Docklands West),United Kingdom,London,https://www.peeringdb.com/fac/835,2018-07-16
Telehouse - Paris 2 (Voltaire),France,Paris,https://www.peeringdb.com/fac/53,2018-07-16
Teraco Johannesburg JB1,South Africa,Johannesburg,https://www.peeringdb.com/fac/850,2018-07-16
Westin Building Seattle,United States of America,Seattle,https://www.peeringdb.com/fac/71,2018-07-16
zColo Miami - 36 NE 2nd St,United States of America,Miami,https://www.peeringdb.com/fac/1718,2018-07-16
zColo Newark - 165 Halsey St,United States of America,Newark,https://www.peeringdb.com/fac/1820,2018-07-16
